G,PTS,TRB,AST,PER,WS,Name,AS,AllDefensive,AllNBA,AllRookie,FG,FG3,FT,NBAChamp,eFG,MVP,ROY,ASMVP,FinalsMVP,ScoringChamp,DefPOY,STLChamp,MostImproved,ASTChamp,BLKChamp,TRBChamp,SixthMan,Target
615.0,19.5,3.5,2.3,16.4,46.8,Klay Thompson,5.0,1.0,2.0,1.0,45.9,41.9,84.8,3.0,55.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,All Star
849.0,27.0,7.1,4.1,25.2,141.7,Kevin Durant,10.0,0.0,9.0,1.0,49.3,38.1,88.3,2.0,54.2,1.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,All Time Great
573.0,19.0,4.3,9.2,19.4,44.3,John Wall,5.0,1.0,1.0,1.0,43.3,32.4,78.1,0.0,46.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,All Star
518.0,18.6,6.4,2.7,23.0,73.4,Kawhi Leonard,4.0,5.0,3.0,1.0,49.1,38.1,85.4,2.0,54.4,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,All Time Great
358.0,22.7,11.8,2.8,25.1,50.4,Karl-Anthony Towns,2.0,0.0,1.0,1.0,53.4,39.6,83.1,0.0,57.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,All Star
510.0,16.3,4.6,3.3,16.3,38.3,Khris Middleton,2.0,0.0,0.0,0.0,45.8,39.2,87.4,0.0,52.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,All Star
214.0,16.4,8.3,8.0,20.2,24.4,Ben Simmons,2.0,0.0,0.0,1.0,56.1,8.7,59.4,0.0,56.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,All Time Great
707.0,15.9,3.9,6.4,16.9,43.0,Jrue Holiday,1.0,2.0,0.0,0.0,45.2,35.5,77.7,0.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,All Star
1541.0,16.7,4.3,3.1,18.6,125.3,Vince Carter,8.0,0.0,2.0,1.0,43.5,37.1,79.8,0.0,48.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Once in a Generation
1114.0,23.6,6.5,2.9,19.9,102.0,Carmelo Anthony,10.0,0.0,6.0,1.0,44.8,34.8,81.2,0.0,48.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Once in a Generation
